Time of day, ping, download, upload
Sab Nov  5 04:45:01 ,45.179 ,16.44 ,10.50;
Sab Nov  5 05:00:01 ,38.387 ,12.79 ,3.54;
Sab Nov  5 05:15:01 ,46.786 ,14.36 ,14.23;
Sab Nov  5 05:30:01 ,37.91 ,14.13 ,3.85;
Sab Nov  5 05:45:01 ,42.128 ,18.20 ,14.14;
Sab Nov  5 06:00:01 ,40.365 ,3.87 ,6.65;
Sab Nov  5 06:15:01 ,39.653 ,14.81 ,8.39;
Sab Nov  5 06:30:01 ,50.078 ,13.15 ,9.13;
Sab Nov  5 06:45:01 ,43.666, 14.84 ,10.18;
Sab Nov  5 07:00:04 ,49.948 ,14.32 ,3.94;
Sab Nov  5 07:15:01 ,59.743 ,15.04 ,12.88;
Sab Nov  5 07:30:01 ,60.082 ,6.76 ,6.61;
Sab Nov  5 07:45:02 ,59.912 ,12.75 ,13.45;
Sab Nov  5 08:00:01 ,64.364 ,9.34 ,7.65;
Sab Nov  5 08:15:01 ,56.787 ,12.59 ,5.32;
Sab Nov  5 08:30:01 ,53.574 ,14.39 ,8.89;
Sab Nov  5 08:45:01 ,63.766 ,8.15 ,9.24;
Sab Nov  5 09:00:01 ,59.835 ,10.92 ,8.96;
Sab Nov  5 09:15:01 ,63.651 ,10.64 ,14.08;
Sab Nov  5 09:30:01 ,58.421 ,12.04 ,13.10;
Sab Nov  5 09:45:01 ,66.368 ,12.71 ,5.99;
Sab Nov  5 10:00:01 ,66.235 ,11.01 ,7.64;
Sab Nov  5 10:15:01 ,59.717 ,5.44 ,8.07;
Sab Nov  5 10:30:01 ,66.675 ,10.41 ,12.87;
Sab Nov  5 10:45:01 ,59.413 ,14.83 ,13.51;
Sab Nov  5 11:00:01 ,65.513 ,11.16 ,13.22;
Sab Nov  5 11:15:01 ,61.669 ,13.67 ,13.89;
Sab Nov  5 11:30:01 ,58.947 ,13.22 ,15.29;
Sab Nov  5 11:45:01 ,66.062 ,10.55 ,14.26;
Sab Nov  5 12:00:01 ,63.077 ,11.33 ,13.19;
Sab Nov  5 12:15:02 ,60.275 ,9.17 ,7.70;
Sab Nov  5 12:30:01 ,54.957 ,8.68 ,11.09;
Sab Nov  5 12:45:01 ,66.84 ,4.78 ,14.07;
Sab Nov  5 13:00:01 ,66.509 ,8.64 ,14.39;
Sab Nov  5 13:15:02 ,62.125 ,10.31 ,13.62;
Sab Nov  5 13:30:01 ,59.624 ,9.40 ,9.21;
Sab Nov  5 13:45:01 ,59.154 ,10.22 ,13.91;
Sab Nov  5 14:00:01 ,66.589 ,11.59 ,14.62;
Sab Nov  5 14:15:01 ,59.223 ,8.98 ,8.66;
Sab Nov  5 14:30:01 ,66.03 ,7.89 ,5.52;
Sab Nov  5 14:45:01 ,60.081 ,5.56 ,13.80;
Sab Nov  5 15:00:01 ,65.072 ,9.30 ,9.33;
Sab Nov  5 15:15:01 ,66.599 ,8.97 ,12.11;
Sab Nov  5 15:30:01 ,59.504 ,6.34 ,6.40;
Sab Nov  5 15:45:01 ,65.475 ,10.70 ,9.71;
Sab Nov  5 16:00:01 ,59.441 ,11.55 ,8.10;
Sab Nov  5 16:15:01 ,66.404 ,9.78 ,4.48;
Sab Nov  5 16:30:01 ,63.46 ,8.31 ,14.22;
Sab Nov  5 16:45:01 ,59.03 ,9.28 ,7.10;
Sab Nov  5 17:00:01 ,60.172 ,8.04 ,14.41;
Sab Nov  5 17:15:01 ,58.568 ,10.18 ,13.92;
Sab Nov  5 17:30:01 ,59.009 ,9.06 ,6.88;
Sab Nov  5 17:45:01 ,58.863 ,4.12 ,10.34;
Sab Nov  5 18:00:01 ,59.769 ,3.37 ,7.23;
Sab Nov  5 18:15:01 ,64.588 ,6.11 ,3.33;
Sab Nov  5 18:30:01 ,64.646 ,5.10 ,6.14;
Sab Nov  5 18:45:01 ,65.183 ,7.36 ,6.44;
Sab Nov  5 19:00:01 ,66.601 ,7.75 ,7.79;
Sab Nov  5 19:15:02, x,x,x;
Sab Nov  5 19:30:01 ,60.416 ,8.79 ,13.76;
Sab Nov  5 19:45:01 ,65.838 ,8.43 ,10.09;
Sab Nov  5 20:00:01 ,60.097 ,5.66 ,10.10;
Sab Nov  5 20:15:01 ,55.162 ,6.70 ,8.96;
Sab Nov  5 20:30:01 ,62.14 ,2.70 ,2.82;
Sab Nov  5 20:45:01 ,67.472 ,8.24 ,7.92;
Sab Nov  5 21:00:01 ,66.488 ,9.98 ,2.60;
Sab Nov  5 21:15:01 ,58.395 ,7.37 ,8.28;
Sab Nov  5 21:30:01 ,58.613 ,9.08 ,5.94;
Sab Nov  5 21:45:01 ,66.759 ,7.19 ,1.42;
Sab Nov  5 22:00:01 ,58.57 ,7.87 ,12.66;
Sab Nov  5 22:15:01 ,59.522 ,4.07 ,14.26;
Sab Nov  5 22:30:01 ,64.748 ,6.80 ,7.42;
Sab Nov  5 22:45:01 ,65.781 ,6.61 ,7.05;
Sab Nov  5 23:00:01 ,59.916 ,7.60 ,7.42;
Sab Nov  5 23:15:01, x,x,x;
Sab Nov  5 23:30:01 ,75.115 ,4.79 ,9.88;
Sab Nov  5 23:45:01 ,58.889 ,9.49 ,3.08;
Ahd Nov  6 00:00:01, x,x,x;
Ahd Nov  6 00:15:01, x,x,x;
Ahd Nov  6 00:30:01, x,x,x;
Ahd Nov  6 00:45:01, x,x,x;
Ahd Nov  6 01:00:01, x,x,x;
Ahd Nov  6 01:15:01, x,x,x;
Ahd Nov  6 01:30:01, x,x,x;
Ahd Nov  6 01:45:01, x,x,x;
Ahd Nov  6 02:00:02, x,x,x;
Ahd Nov  6 02:15:01 ,42.914 ,15.01 ,5.82;
Ahd Nov  6 02:30:01 ,43.902 ,16.33 ,10.72;
Ahd Nov  6 02:45:01 ,43.474 ,15.95 ,8.54;
Ahd Nov  6 03:00:01 ,38.511 ,16.33 ,10.91;
Ahd Nov  6 03:15:01 ,52.451 ,15.18 ,13.61;
Ahd Nov  6 03:30:01 ,42.569 ,12.39 ,12.23 ;
Ahd Nov  6 03:45:01 ,42.255 ,10.19 ,13.06;
Ahd Nov  6 04:00:01 ,46.665 ,15.01 ,7.18;
Ahd Nov  6 04:15:01 ,44.654 ,16.34 ,13.30;
Ahd Nov  6 04:30:01 ,40.944 ,14.71 ,3.33;
Ahd Nov  6 04:45:01 ,37.895 ,15.32 ,6.60;
Ahd Nov  6 05:00:01 ,39.761 ,14.83 ,3.14;
Ahd Nov  6 05:15:01 ,38.517 ,15.37 ,14.45;
Ahd Nov  6 05:30:01 ,38.992 ,11.56 ,13.55;
Ahd Nov  6 05:45:01 ,38.242 ,13.48 ,7.48;
Ahd Nov  6 06:00:01 ,38.459 ,17.09 ,14.33;
Ahd Nov  6 06:15:01 ,43.73 ,15.84 ,11.27;
Ahd Nov  6 06:30:01 ,41.427 ,14.23 ,4.56;
Ahd Nov  6 06:45:01 ,38.64 ,14.57 ,5.47;
Ahd Nov  6 07:00:02 ,49.794 ,9.68 ,5.07;
Ahd Nov  6 07:15:01 ,51.476 ,15.13 ,14.29;
Ahd Nov  6 07:30:01 ,51.747 ,12.77 ,2.88;
Ahd Nov  6 07:45:01 ,56.819 ,13.28, 13.22;
Ahd Nov  6 08:00:01 ,65.409 ,11.82 ,5.13;
Ahd Nov  6 08:15:01, x,x,x;
Ahd Nov  6 08:30:01, x,x,x;
Ahd Nov  6 08:45:01, x,x,x;
Ahd Nov  6 09:00:01, x,x,x;
Ahd Nov  6 09:15:01, x,x,x;
Ahd Nov  6 09:30:01, x,x,x;
Ahd Nov  6 09:45:01, x,x,x;
Ahd Nov  6 10:00:01, x,x,x;
Ahd Nov  6 10:15:01, x,x,x;
Ahd Nov  6 10:30:01, x,x,x;
Ahd Nov  6 10:45:01, x,x,x;
Ahd Nov  6 11:00:01, x,x,x;
Ahd Nov  6 11:15:01, x,x,x;
Ahd Nov  6 11:30:01 , x,x,x;
Ahd Nov  6 11:45:01, x,x,x;
Ahd Nov  6 12:00:01, x,x,x;
Ahd Nov  6 12:15:01, x,x,x;
Ahd Nov  6 12:30:01, x,x,x;
Ahd Nov  6 12:45:01, x,x,x;
Ahd Nov  6 13:00:01, x,x,x;
Ahd Nov  6 13:15:01, x,x,x;
Ahd Nov  6 13:30:01, x,x,x;
Ahd Nov  6 13:45:01, x,x,x;
Ahd Nov  6 14:00:01, x,x,x;
Ahd Nov  6 14:15:01, x,x,x;
Ahd Nov  6 14:30:01, x,x,x;
Ahd Nov  6 14:45:01, x,x,x;
Ahd Nov  6 15:00:01, x,x,x;
Ahd Nov  6 15:15:01, x,x,x;
Ahd Nov  6 15:30:01, x,x,x;
Ahd Nov  6 15:45:01, x,x,x;
Ahd Nov  6 16:00:02, x,x,x;
Ahd Nov  6 16:15:01, x,x,x;
Ahd Nov  6 16:30:01, x,x,x;
Ahd Nov  6 16:45:01, x,x,x;
Ahd Nov  6 17:00:01, x,x,x;
Ahd Nov  6 17:15:01, x,x,x;
Ahd Nov  6 17:30:01, x,x,x;
Ahd Nov  6 17:45:01, x,x,x;
Ahd Nov  6 18:00:01, x,x,x;
Ahd Nov  6 18:15:01, x,x,x;
Ahd Nov  6 18:30:01, x,x,x;
Ahd Nov  6 18:45:02, x,x,x;
Ahd Nov  6 19:00:01, x,x,x;
Ahd Nov  6 19:15:01, x,x,x;
Ahd Nov  6 19:30:01, x,x,x;
Ahd Nov  6 19:45:01, x,x,x;
Ahd Nov  6 20:00:01, x,x,x;
Ahd Nov  6 20:15:01, x,x,x;
Ahd Nov  6 20:30:01, x,x,x;
Ahd Nov  6 20:45:03, x,x,x;
Ahd Nov  6 21:00:01, x,x,x;
Ahd Nov  6 21:15:01, x,x,x;
Ahd Nov  6 21:30:01, x,x,x;
Ahd Nov  6 21:45:01, x,x,x;
Ahd Nov  6 22:00:01, x,x,x;
Ahd Nov  6 22:15:01, x,x,x;
Ahd Nov  6 22:30:01, x,x,x;
Ahd Nov  6 22:45:01, x,x,x;
Ahd Nov  6 23:00:01, x,x,x;
Ahd Nov  6 23:15:01, x,x,x;
Ahd Nov  6 23:30:01, x,x,x;
Ahd Nov  6 23:45:01, x,x,x;
Isn Nov  7 00:00:01, x,x,x;
Isn Nov  7 00:15:01, x,x,x;
Isn Nov  7 00:30:01, x,x,x;
Isn Nov  7 00:45:01, x,x,x;
Isn Nov  7 01:00:01, x,x,x;
Isn Nov  7 01:15:01, x,x,x;
Isn Nov  7 01:30:01, x,x,x;
Isn Nov  7 01:45:01, x,x,x;
Isn Nov  7 02:00:01, x,x,x;
Isn Nov  7 02:15:01,43.044 ,14.37 ,8.40;
Isn Nov  7 02:30:01 ,38.103 ,15.79 ,9.70;
Isn Nov  7 02:45:01 ,39.186 ,17.29 ,15.68;
Isn Nov  7 03:00:01 ,40.868 ,11.27 ,13.06;
Isn Nov  7 03:15:01 ,44.756 ,13.77 ,4.78;
Isn Nov  7 03:30:01 ,36.878 ,16.54 ,10.40;
Isn Nov  7 03:45:01 ,39.711 ,15.62 ,10.86;
Isn Nov  7 04:00:01 ,41.172 ,11.00 ,14.93;
Isn Nov  7 04:15:01 ,38.375 ,15.37 ,8.93;
Isn Nov  7 04:30:01 ,40.577 ,15.22 ,15.75;
Isn Nov  7 04:45:01 ,34.781 ,15.29 ,13.49;
Isn Nov  7 05:00:01 ,32.419 ,16.20 ,8.73;
Isn Nov  7 05:15:01, 31.829 ,16.44 ,8.58;
Isn Nov  7 05:30:01 ,37.763 ,18.10 ,10.24;
Isn Nov  7 05:45:01 ,32.085 ,18.30 ,15.13;
Isn Nov  7 06:00:01 ,36.766 ,16.20 ,15.09;
Isn Nov  7 06:15:01 ,44.178 ,17.69 ,8.74;
Isn Nov  7 06:30:01 ,51.299 ,10.00 ,13.61;
Isn Nov  7 06:45:01 ,52.442 ,11.79 ,5.48;
Isn Nov  7 07:00:02 ,48.54 ,11.17 ,8.14;
Isn Nov  7 07:15:01 ,54.057 ,12.70 ,6.01;
Isn Nov  7 07:30:01 ,63.042 ,12.61 ,3.84;
Isn Nov  7 07:45:01 ,46.788 ,12.30 ,3.33;
Isn Nov  7 08:00:01, x,x,x;
Isn Nov  7 08:15:01, x,x,x;
Isn Nov  7 08:30:01, x,x,x;
Isn Nov  7 08:45:01, x,x,x;
Isn Nov  7 09:00:01, x,x,x;
Isn Nov  7 09:15:01, x,x,x;
Isn Nov  7 09:30:01, x,x,x;
Isn Nov  7 09:45:01, x,x,x;
Isn Nov  7 10:00:01, x,x,x;
Isn Nov  7 10:15:01, x,x,x;
Isn Nov  7 10:30:01, x,x,x;
Isn Nov  7 10:45:01, x,x,x;
Isn Nov  7 11:00:01, x,x,x;
Isn Nov  7 11:15:01, x,x,x;
Isn Nov  7 11:30:01, x,x,x;
Isn Nov  7 11:45:01, x,x,x;
Isn Nov  7 12:00:01, x,x,x;
Isn Nov  7 12:15:01, x,x,x;
Isn Nov  7 12:30:01, x,x,x;
Isn Nov  7 12:45:01, x,x,x;
Isn Nov  7 13:00:01, x,x,x;
Isn Nov  7 13:15:01, x,x,x;
Isn Nov  7 13:30:01, x,x,x;
Isn Nov  7 13:45:01, x,x,x;
Isn Nov  7 14:00:01, x,x,x;
Isn Nov  7 14:15:01, x,x,x;
Isn Nov  7 14:30:01, x,x,x;
Isn Nov  7 14:45:01, x,x,x;
Isn Nov  7 15:00:01, x,x,x;
Isn Nov  7 15:15:01, x,x,x;
Isn Nov  7 15:30:01, x,x,x;
Isn Nov  7 15:45:01, x,x,x;
Isn Nov  7 16:00:01, x,x,x;
Isn Nov  7 16:15:01, x,x,x;
Isn Nov  7 16:30:01, x,x,x;
Isn Nov  7 16:45:01, x,x,x;
Isn Nov  7 17:00:01, x,x,x;
Isn Nov  7 17:15:01, x,x,x;
Isn Nov  7 17:30:01, x,x,x;
Isn Nov  7 17:45:01, x,x,x;
Isn Nov  7 18:00:01, x,x,x;
Isn Nov  7 18:15:01, x,x,x;
Isn Nov  7 18:30:01, x,x,x;
Isn Nov  7 18:45:01, x,x,x;
Isn Nov  7 19:00:01, x,x,x;
Isn Nov  7 19:15:01, x,x,x;
Isn Nov  7 19:30:01, x,x,x;
Isn Nov  7 19:45:01, x,x,x;
Isn Nov  7 20:00:01, x,x,x;
Isn Nov  7 20:15:01, x,x,x;
Isn Nov  7 20:30:01, x,x,x;
Isn Nov  7 20:45:01, x,x,x;
Isn Nov  7 21:00:01, x,x,x;
Isn Nov  7 21:15:01, x,x,x;
Isn Nov  7 21:30:01, x,x,x;
Isn Nov  7 21:45:01, x,x,x;
Isn Nov  7 22:00:01, x,x,x;
Isn Nov  7 22:15:01, x,x,x;
Isn Nov  7 22:30:01, x,x,x;
Isn Nov  7 22:45:01, x,x,x;
Isn Nov  7 23:00:01, x,x,x;
Isn Nov  7 23:15:01, x,x,x;
Isn Nov  7 23:30:01, x,x,x;
Isn Nov  7 23:45:01, x,x,x;
Sel Nov  8 00:00:01, x,x,x;
Sel Nov  8 00:15:01, x,x,x;
Sel Nov  8 00:30:01, x,x,x;
Sel Nov  8 00:45:01, x,x,x;
Sel Nov  8 01:00:01, x,x,x;
Sel Nov  8 01:15:01, x,x,x;
Sel Nov  8 01:30:01, x,x,x;
Sel Nov  8 01:45:01, x,x,x;
Sel Nov  8 02:00:01, x,x,x;
Sel Nov  8 02:15:01 ,43.538 ,14.84 ,8.53;
Sel Nov  8 02:30:01 ,39.018 ,16.33 ,6.88;
Sel Nov  8 02:45:01 ,34.413 ,16.54 ,13.99;
Sel Nov  8 03:00:01 ,33.444 ,15.43 ,14.29;
Sel Nov  8 03:15:01 ,42.073 ,10.07 ,13.27;
Sel Nov  8 03:30:01 ,35.984 ,16.26 ,13.65;
Sel Nov  8 03:45:01 ,40.523 ,16.60 ,7.03;
Sel Nov  8 04:00:01 ,38.428 ,15.39 ,5.99;
Sel Nov  8 04:15:01 ,35.021 ,15.45 ,9.28;
